trip_id,timepoint,stop_sequence,arrival_time,departure_time,stop_id
A1001001,0,1,00:00:00,00:00:00,PK_S1
A1001001,0,2,00:00:00,00:00:00,PK_S2
A1001001,0,3,00:00:00,00:00:00,PK_S3
A1001001,0,4,00:00:00,00:00:00,PK_S4
A1001001,0,5,00:00:00,00:00:00,PK_S5
A1001001,0,6,00:00:00,00:00:00,PK_S6
A1001001,0,7,00:00:00,00:00:00,PK_S7
A1001001,0,8,00:00:00,00:00:00,PK_S8
A1001001,0,9,00:00:00,00:00:00,PK_S9
A1001001,0,10,00:00:00,00:00:00,PK_S10
A1001001,0,11,00:00:00,00:00:00,PK_S11
A1001001,0,12,00:00:00,00:00:00,PK_S12
A1001001,0,13,00:00:00,00:00:00,PK_S13
A1001001,0,14,00:00:00,00:00:00,PK_S14
A1001001,0,15,00:00:00,00:00:00,PK_S15
A1001001,0,16,00:00:00,00:00:00,PK_S16
A1001001,0,17,00:00:00,00:00:00,PK_S17
A1001001,0,18,00:00:00,00:00:00,PK_S18
A1001002,0,1,00:00:00,00:00:00,PK_S18
A1001002,0,2,00:00:00,00:00:00,PK_S17
A1001002,0,3,00:00:00,00:00:00,PK_S16
A1001002,0,4,00:00:00,00:00:00,PK_S15
A1001002,0,5,00:00:00,00:00:00,PK_S14
A1001002,0,6,00:00:00,00:00:00,PK_S13
A1001002,0,7,00:00:00,00:00:00,PK_S12
A1001002,0,8,00:00:00,00:00:00,PK_S11
A1001002,0,9,00:00:00,00:00:00,PK_S10
A1001002,0,10,00:00:00,00:00:00,PK_S9
A1001002,0,11,00:00:00,00:00:00,PK_S8
A1001002,0,12,00:00:00,00:00:00,PK_S7
A1001002,0,13,00:00:00,00:00:00,PK_S6
A1001002,0,14,00:00:00,00:00:00,PK_S5
A1001002,0,15,00:00:00,00:00:00,PK_S4
A1001002,0,16,00:00:00,00:00:00,PK_S3
A1001002,0,17,00:00:00,00:00:00,PK_S2
A1001002,0,18,00:00:00,00:00:00,PK_S1
